#t p q a dW Et
0 1.41421 0 -0 0 1
0.01 1.41414 0.0141419 -0.0141414 0 1
0.02 1.41393 0.0282824 -0.0282786 0 1
0.03 1.41358 0.0424201 -0.0424073 -0 1
0.04 1.41308 0.0565535 -0.0565233 0 1
0.05 1.41245 0.0706812 -0.0706224 0 1
0.06 1.41167 0.0848019 -0.0847003 0 1
0.07 1.41075 0.0989142 -0.098753 -0 1
0.08 1.4097 0.113017 -0.112776 -0 1
0.09 1.4085 0.127108 -0.126766 0 1
0.1 1.40716 0.141186 -0.140717 0 1
0.11 1.40568 0.15525 -0.154627 0 1
0.12 1.40407 0.169299 -0.168492 0 1
0.13 1.40231 0.183331 -0.182306 0 1
0.14 1.40042 0.197345 -0.196067 -0 1
0.15 1.39839 0.211339 -0.20977 -0 1
0.16 1.39623 0.225312 -0.223411 0 1
0.17 1.39392 0.239263 -0.236987 -0 1
0.18 1.39149 0.253191 -0.250494 -0 1
0.19 1.38891 0.267093 -0.263928 0 1
0.2 1.38621 0.280968 -0.277286 0 1
0.21 1.38337 0.294816 -0.290564 0 1
0.22 1.3804 0.308635 -0.303759 0 1
0.23 1.37729 0.322424 -0.316866 0 1
0.24 1.37406 0.336181 -0.329884 0 1
0.25 1.3707 0.349905 -0.342808 -0 1
0.26 1.3672 0.363594 -0.355636 0 1
0.27 1.36358 0.377248 -0.368364 -0 1
0.28 1.35984 0.390866 -0.380989 0 1
0.29 1.35597 0.404445 -0.393508 -0 1
0.3 1.35197 0.417984 -0.405919 0 1
0.31 1.34785 0.431484 -0.418219 -0 1
0.32 1.3436 0.444941 -0.430405 -0 1
0.33 1.33924 0.458355 -0.442474 -0 1
0.34 1.33476 0.471725 -0.454424 0 1
0.35 1.33015 0.48505 -0.466253 -0 1
0.36 1.32543 0.498328 -0.477958 0 1
0.37 1.32059 0.511558 -0.489537 0 1
0.38 1.31564 0.52474 -0.500988 -0 1
0.39 1.31057 0.537871 -0.512309 -0 1
0.4 1.30539 0.550951 -0.523497 -0 1
0.41 1.3001 0.563978 -0.534553 0 1
0.42 1.2947 0.576952 -0.545472 0 1
0.43 1.2892 0.589872 -0.556255 -0 1
0.44 1.28358 0.602736 -0.566898 0 1
0.45 1.27786 0.615543 -0.577402 -0 1
0.46 1.27203 0.628293 -0.587764 0 1
0.47 1.2661 0.640983 -0.597984 0 1
0.48 1.26007 0.653614 -0.60806 0 1
0.49 1.25394 0.666185 -0.617991 0 1
0.5 1.24771 0.678693 -0.627776 0 1
0.51 1.24139 0.691139 -0.637415 -0 1
0.52 1.23497 0.70352 -0.646906 -0 1
0.53 1.22845 0.715838 -0.65625 0 1
0.54 1.22184 0.728089 -0.665444 0 1
0.55 1.21514 0.740274 -0.67449 0 1
0.56 1.20835 0.752392 -0.683387 0 1
0.57 1.20147 0.764441 -0.692133 0 1
0.58 1.19451 0.776421 -0.70073 0 1
0.59 1.18746 0.788331 -0.709177 -0 1
0.6 1.18033 0.80017 -0.717474 -0 1
0.61 1.17311 0.811937 -0.725621 0 1
0.62 1.16581 0.823632 -0.733619 -0 1
0.63 1.15844 0.835253 -0.741466 -0 1
0.64 1.15099 0.8468 -0.749165 -0 1
0.65 1.14346 0.858272 -0.756714 -0 1
0.66 1.13585 0.869669 -0.764115 0 1
0.67 1.12817 0.880989 -0.771369 0 1
0.68 1.12042 0.892232 -0.778475 -0 1
0.69 1.11261 0.903397 -0.785434 -0 1
0.7 1.10472 0.914484 -0.792248 0 1
