#t p q a dW
0 0 0 0 0.0559421
0.01 0.00872286 0.000311368 0 0.00731901
0.02 -0.00958688 0.000423423 0 0.00035824
0.03 -0.100528 8.05381e-05 0 -0.00741955
0.04 -0.108802 -0.000917295 0 0.0212099
0.05 -0.0924628 -0.00145348 0 0.00131233
0.06 -0.0566151 -0.00213439 0 0.0122761
0.07 -0.0640607 -0.00266751 0 -0.019283
0.08 -0.132202 -0.00378114 0 -0.0382184
0.09 -0.186568 -0.00562262 0 0.0062986
0.1 -0.169982 -0.00772952 0 0.0431969
0.11 0.0428591 -0.00829331 0 0.0259154
0.12 -0.0478618 -0.00845021 0 0.0432737
0.13 0.0752388 -0.00804471 0 0.0186237
0.14 0.045359 -0.00710867 0 -0.0127007
0.15 0.144293 -0.0062986 0 -0.0353676
0.16 0.0944359 -0.00528888 0 0.0249184
0.17 0.00186239 -0.00444555 0 -0.0168069
0.18 -0.0207426 -0.00473149 0 -0.00651738
0.19 -0.150407 -0.0055254 0 0.00944828
0.2 -0.125502 -0.00738218 0 0.0286918
0.21 -0.177604 -0.00847813 0 0.0174245
0.22 -0.121288 -0.00975831 0 0.0166657
0.23 -0.0977954 -0.0108902 0 0.0161906
0.24 -0.207977 -0.0123115 0 0.0277949
0.25 -0.0847165 -0.0138558 0 -0.0139264
0.26 -0.106287 -0.0147788 0 0.00849303
0.27 -0.171157 -0.0157708 0 -0.0236336
0.28 -0.206146 -0.0176133 0 0.017104
0.29 -0.0535446 -0.0193169 0 -0.00822544
0.3 -0.176418 -0.0206002 0 0.0105545
0.31 -0.361422 -0.0225818 0 -0.0292207
0.32 -0.47838 -0.0268806 0 -0.0159589
0.33 -0.426862 -0.031316 0 -0.000674204
0.34 -0.362295 -0.0355682 0 0.00279878
0.35 -0.443973 -0.0392327 0 -0.0721104
0.36 -0.638397 -0.0451118 0 0.011542
0.37 -0.663853 -0.051496 0 0.0413786
0.38 -0.629557 -0.0575311 0 -0.00568085
0.39 -0.619214 -0.0640119 0 -0.031745
0.4 -0.537995 -0.0700008 0 -0.00408218
0.41 -0.476655 -0.0753095 0 0.0122454
0.42 -0.388303 -0.079514 0 0.0741691
0.43 -0.324935 -0.0826663 0 -0.0316293
0.44 -0.314183 -0.086068 0 0.0439854
0.45 -0.269721 -0.0889979 0 -0.0398476
0.46 -0.406855 -0.0923895 0 0.0298067
0.47 -0.387835 -0.0959888 0 0.042702
0.48 -0.470352 -0.0999016 0 0.0156784
0.49 -0.402028 -0.1042 0 0.0094607
0.5 -0.485098 -0.108876 0 0.0325449
0.51 -0.412992 -0.113101 0 -0.012913
0.52 -0.496078 -0.117446 0 -0.043945
0.53 -0.535753 -0.123 0 0.0288258
0.54 -0.560103 -0.128389 0 0.00864272
0.55 -0.41256 -0.13327 0 0.00677783
0.56 -0.542018 -0.138183 0 0.00612416
0.57 -0.549743 -0.143625 0 0.00344923
0.58 -0.468084 -0.149057 0 0.0230701
0.59 -0.464907 -0.153963 0 -0.0537047
0.6 -0.440911 -0.158846 0 -0.0121045
0.61 -0.310252 -0.162961 0 0.0427799
0.62 -0.207418 -0.165831 0 -0.00172482
0.63 -0.121961 -0.167817 0 -0.00689657
0.64 -0.0180733 -0.168867 0 -0.00295595
0.65 0.0641357 -0.168462 0 -0.0108988
0.66 -0.133211 -0.168572 0 0.0152873
0.67 -0.120949 -0.169778 0 0.0208772
0.68 -0.162549 -0.170878 0 -0.0102476
0.69 -0.208962 -0.172693 0 -0.0432053
0.7 -0.245813 -0.174889 0 0.00986943
0.71 -0.188596 -0.176758 0 -0.0362693
0.72 -0.143594 -0.178744 0 -0.0216845
0.73 -0.200938 -0.18078 0 -0.0124297
0.74 -0.158935 -0.182445 0 0.00245975
0.75 -0.201914 -0.184523 0 0.0276999
0.76 -0.113563 -0.185917 0 -0.0613587
0.77 -0.0770548 -0.187435 0 0.00543102
0.78 -0.0562086 -0.188146 0 -0.02307
0.79 -0.0588802 -0.1889 0 -0.015514
0.8 -0.125851 -0.189737 0 -0.0729731
0.81 -0.293945 -0.192051 0 -0.00383512
0.82 -0.223104 -0.194473 0 -0.0199193
0.83 -0.315989 -0.197008 0 -0.0214143
0.84 -0.301084 -0.200242 0 -0.0569222
0.85 -0.474761 -0.204142 0 -0.0164254
0.86 -0.500848 -0.208941 0 0.0115141
0.87 -0.371265 -0.213292 0 0.0181674
0.88 -0.26154 -0.216989 0 -0.0145067
0.89 -0.299629 -0.220102 0 -0.0074155
0.9 -0.35776 -0.224043 0 0.0140132
0.91 -0.253633 -0.227419 0 -0.0258154
0.92 -0.106876 -0.229488 0 -0.0114758
0.93 -0.107651 -0.230604 0 0.000206362
0.94 0.00665453 -0.231215 0 -0.0275671
0.95 0.0169801 -0.230817 0 6.75962e-05
0.96 -0.0755487 -0.230898 0 -0.000677024
0.97 -0.0875883 -0.231482 0 -0.00526352
0.98 -0.0597545 -0.232296 0 -0.0223129
0.99 -0.194866 -0.23382 0 0.00646741
1 -0.212846 -0.235528 0 -0.0324555
1.01 -0.216202 -0.237718 0 0.0364453
1.02 -0.201341 -0.239559 0 -0.0503594
1.03 -0.285614 -0.242307 0 -0.0466989
1.04 -0.422768 -0.245556 0 -0.00999423
1.05 -0.545938 -0.250202 0 0.0388299
1.06 -0.52755 -0.255444 0 0.0254111
1.07 -0.429601 -0.260589 0 -0.0318055
1.08 -0.316241 -0.264718 0 0.0162326
1.09 -0.428317 -0.268232 0 -0.0225597
1.1 -0.411735 -0.272636 0 -0.0538335
1.11 -0.44893 -0.277421 0 -0.0535197
1.12 -0.479209 -0.282268 0 0.0351698
1.13 -0.436022 -0.286825 0 0.0413166
1.14 -0.439693 -0.290977 0 0.0013828
1.15 -0.469608 -0.294998 0 0.0146208
1.16 -0.409657 -0.299455 0 0.0443007
1.17 -0.525498 -0.303961 0 -0.0394335
1.18 -0.685462 -0.310071 0 -0.00534503
1.19 -0.731245 -0.316966 0 -0.00673932
1.2 -0.687077 -0.324333 0 0.0303645
1.21 -0.676769 -0.33088 0 -0.0225734
1.22 -0.788909 -0.338486 0 0.0196962
1.23 -0.640052 -0.346041 0 -0.023921
1.24 -0.660459 -0.352677 0 0.0197624
1.25 -0.555157 -0.358677 0 0.0316471
1.26 -0.566171 -0.364491 0 -0.038635
1.27 -0.634433 -0.370549 0 -0.0152257
1.28 -0.641646 -0.376779 0 -0.0552742
1.29 -0.772269 -0.383796 0 -0.0386877
1.3 -0.744447 -0.391651 0 -0.0163471
1.31 -0.704121 -0.399163 0 -0.0223142
1.32 -0.782608 -0.407361 0 0.00519948
1.33 -0.876945 -0.415425 0 0.0199996
1.34 -0.846026 -0.423742 0 0.066656
1.35 -0.637708 -0.43075 0 0.0331127
1.36 -0.703335 -0.437115 0 0.0124132
1.37 -0.603751 -0.44361 0 -0.012096
1.38 -0.633363 -0.44971 0 -0.0107045
1.39 -0.730554 -0.456509 0 0.0517239
1.4 -0.778898 -0.463778 0 0.0197412
1.41 -0.739764 -0.471117 0 -0.00325029
1.42 -0.716084 -0.478571 0 0.0260017
1.43 -0.620259 -0.485479 0 0.0232332
1.44 -0.403258 -0.49074 0 -0.0010982
1.45 -0.370978 -0.494815 0 -0.0393169
1.46 -0.387933 -0.498956 0 0.0106433
1.47 -0.448296 -0.503129 0 -0.0337015
