#t p q a dW
0 0.707107 0 -0 1.97785
0.1 0.703576 0.0705929 -0.0705343 1.52724
0.2 0.693035 0.140481 -0.14002 1.01441
0.3 0.67564 0.208971 -0.207454 0.373157
0.4 0.651643 0.275389 -0.271922 -0.144327
0.5 0.621381 0.339091 -0.33263 1.15064
0.6 0.585264 0.39947 -0.38893 -0.427958
0.7 0.543759 0.455964 -0.440328 0.348937
0.8 0.497374 0.508059 -0.486483 -2.57999
0.9 0.446644 0.555294 -0.527193 0.495443
1 0.392119 0.597262 -0.56238 -1.14748
1.1 0.334352 0.63361 -0.592058 -1.9033
1.2 0.273889 0.664042 -0.616305 1.07355
1.3 0.211268 0.688316 -0.635237 -0.577956
1.4 0.147014 0.706241 -0.648979 0.697956
1.5 0.0816413 0.717681 -0.65764 -0.0582329
1.6 0.0156529 0.722549 -0.661299 0.665885
1.7 -0.050453 0.720808 -0.659992 0.805802
1.8 -0.11618 0.712471 -0.653706 0.811343
1.9 -0.181026 0.697601 -0.642381 -0.780807
2 -0.244485 0.676312 -0.625921 -0.977184
2.1 -0.306035 0.648768 -0.604205 -0.36434
2.2 -0.365146 0.615186 -0.577111 -1.1328
2.3 -0.421275 0.575838 -0.544538 -0.338991
2.4 -0.47387 0.531049 -0.506438 0.752654
2.5 -0.522379 0.4812 -0.462844 0.207755
2.6 -0.56626 0.426728 -0.413894 -0.240989
2.7 -0.604988 0.36812 -0.359862 -2.70665
2.8 -0.638077 0.305918 -0.301169 -1.62274
2.9 -0.665086 0.240708 -0.23839 0.990324
3 -0.685642 0.173116 -0.172253 -0.464402
3.1 -0.699453 0.103804 -0.103618 0.306309
3.2 -0.706315 0.0334572 -0.033451 0.035619
3.3 -0.706126 -0.0372238 0.0372152 -0.485892
3.4 -0.69889 -0.107533 0.107326 0.72706
3.5 -0.684714 -0.17677 0.175851 -0.501103
3.6 -0.663805 -0.244251 0.24183 -2.38308
3.7 -0.636462 -0.309317 0.304408 0.160287
3.8 -0.603061 -0.371342 0.362866 0.947583
3.9 -0.564045 -0.429742 0.416636 0.796841
4 -0.519904 -0.48398 0.465306 0.925327
4.1 -0.471163 -0.533569 0.50861 -0.482954
4.2 -0.418365 -0.578077 0.546415 -0.874726
4.3 -0.362064 -0.617126 0.578693 1.103
4.4 -0.302809 -0.650392 0.605498 -0.387271
4.5 -0.241144 -0.677607 0.626931 1.11819
4.6 -0.177598 -0.698558 0.643114 0.0421303
4.7 -0.112692 -0.713081 0.654168 0.0516823
4.8 -0.0469324 -0.721068 0.660187 0.190971
4.9 0.0191797 -0.722456 0.661229 0.739341
5 0.0851479 -0.717237 0.657305 1.33364
5.1 0.150474 -0.705448 0.648375 0.230861
5.2 0.214653 -0.68718 0.63436 0.716967
5.3 0.277173 -0.662573 0.615147 0.14838
5.4 0.337505 -0.631818 0.590613 -0.716867
5.5 0.395114 -0.595162 0.560643 -1.45972
5.6 0.44945 -0.552905 0.525161 0.310039
5.7 0.499962 -0.5054 0.484157 -0.939262
5.8 0.5461 -0.453058 0.437717 -0.119645
5.9 0.587331 -0.396343 0.386048 0.0845603
6 0.623147 -0.335772 0.329498 -1.31848
6.1 0.653085 -0.27191 0.268572 1.29282
6.2 0.676737 -0.205365 0.203924 0.545724
6.3 0.693772 -0.136783 0.136357 1.68678
6.4 0.703942 -0.0668395 0.0667897 -0.693119
6.5 0.707097 0.00377129 -0.00377128 -0.24625
6.6 0.703189 0.0743444 -0.0742759 -0.191649
6.7 0.692278 0.144176 -0.143677 -2.15477
6.8 0.674524 0.212572 -0.210975 1.17428
6.9 0.650184 0.278861 -0.275261 -0.0884357
7 0.619599 0.3424 -0.335749 -1.2807
7.1 0.583182 0.402586 -0.391799 0.392913
7.2 0.541403 0.458858 -0.442925 0.121678
7.3 0.494773 0.510705 -0.488793 -1.09076
7.4 0.443827 0.557669 -0.52921 1.97944
7.5 0.389115 0.599345 -0.564102 -3.33896
7.6 0.33119 0.635385 -0.593487 0.0164628
7.7 0.270599 0.665494 -0.617448 0.260169
7.8 0.207877 0.689434 -0.6361 2.18566
7.9 0.143551 0.707016 -0.649568 1.11946
8 0.078133 0.718107 -0.657961 -0.0911422
8.1 0.0121258 0.722623 -0.661355 0.57188
8.2 -0.0539725 0.72053 -0.659783 -1.74241
8.3 -0.119665 0.711842 -0.65323 0.989296
8.4 -0.18445 0.696627 -0.641634 -1.43992
8.5 -0.24782 0.674999 -0.624897 0.404762
8.6 -0.309254 0.647127 -0.602897 2.30786
8.7 -0.36822 0.613231 -0.575513 -0.589638
8.8 -0.424174 0.573584 -0.542646 1.06613
8.9 -0.476565 0.528515 -0.504251 -0.388376
