#t U_0 U_1 U_2 U_3 U_4 U_5 U_6 U_7 U_8 U_9 U_10 U_11 U_12 U_13 U_14 U_15 U_16 U_17 U_18 U_19 U_20 U_21 U_22 U_23 U_24 U_25 U_26 U_27 U_28 U_29 U_30 U_31 U_32 U_33 U_34 U_35 U_36 U_37 U_38 U_39 U_40 U_41 U_42 U_43 U_44 U_45 U_46 U_47 U_48 U_49 U_50 U_51 U_52 U_53 U_54 U_55 U_56 U_57 U_58 U_59 U_60 U_61 U_62 U_63 U_64 U_65 U_66 U_67 U_68 U_69 U_70 U_71 U_72 U_73 U_74 U_75 U_76 U_77 U_78 U_79 U_80 U_81 U_82 U_83 U_84 U_85 U_86 U_87 U_88 U_89 U_90 U_91 U_92 U_93 U_94 U_95 U_96 U_97 U_98 U_99 U_100 U_101 U_102 U_103 U_104 U_105 U_106 U_107 U_108 U_109 U_110 U_111 U_112 U_113 U_114 U_115 U_116 U_117 U_118 U_119 U_120 U_121 U_122 U_123 U_124 U_125 U_126 U_127
0 0.396397 0.396593 0.398028 0.397633 0.396864 0.397382 0.39676 0.396649 0.39636 0.396163 0.39724 0.39611 0.396544 0.396456 0.397314 0.396098 0.396025 0.396919 0.396666 0.396157 0.396901 0.39634 0.396703 0.396631 0.397361 0.396855 0.397338 0.396714 0.396467 0.396743 0.396561 0.396178 0.396597 0.396296 0.396547 0.396599 0.396106 0.397635 0.396228 0.396692 0.396506 0.396495 0.396663 0.395867 0.395648 0.396467 0.397139 0.396293 0.396116 0.396569 0.396962 0.395936 0.396792 0.396788 0.397098 0.39618 0.396333 0.396665 0.395956 0.395967 0.396959 0.396471 0.395805 0.614445 0.61472 0.397054 0.397054 0.396784 0.397407 0.397188 0.397471 0.39733 0.39683 0.396034 0.396197 0.396713 0.396063 0.3962 0.396231 0.395993 0.396115 0.396649 0.395449 0.396916 0.397216 0.396397 0.396493 0.396775 0.397311 0.396769 0.396094 0.396551 0.396017 0.395847 0.396473 0.396784 0.396662 0.39588 0.396723 0.396406 0.397841 0.396339 0.395968 0.396392 0.396691 0.397609 0.396949 0.397155 0.396815 0.396597 0.395962 0.396658 0.395713 0.396584 0.396895 0.397269 0.396623 0.396548 0.396784 0.395975 0.396215 0.396916 0.396469 0.396664 0.396375 0.396057 0.396974 0.397196
4 0.39746 0.396923 0.397086 0.396695 0.39716 0.396631 0.397508 0.397154 0.397427 0.396182 0.395876 0.396713 0.396204 0.395874 0.396354 0.39696 0.396111 0.396804 0.396114 0.396902 0.397375 0.396752 0.396135 0.396406 0.397245 0.397436 0.396067 0.397072 0.397484 0.39623 0.396156 0.396122 0.396364 0.396259 0.396581 0.396583 0.396926 0.396397 0.396666 0.39669 0.396932 0.396724 0.396207 0.396785 0.396944 0.396138 0.395144 0.39614 0.396472 0.396693 0.397062 0.397681 0.397287 0.395631 0.396251 0.395895 0.396227 0.396407 0.396974 0.398377 0.388611 0.384963 0.519553 0.508755 0.509357 0.519604 0.38574 0.389746 0.398679 0.396452 0.396723 0.396667 0.397154 0.396711 0.396554 0.396613 0.395637 0.396308 0.396798 0.396464 0.396792 0.397195 0.396063 0.396384 0.396036 0.396083 0.396369 0.396476 0.397059 0.395965 0.396565 0.396368 0.397199 0.396685 0.395753 0.395965 0.396314 0.397323 0.396487 0.396706 0.39623 0.397174 0.397648 0.396595 0.396572 0.396207 0.396034 0.396926 0.397024 0.396546 0.396941 0.396249 0.396517 0.396539 0.395901 0.396818 0.396393 0.396449 0.397287 0.397008 0.397094 0.396639 0.396057 0.396219 0.3966 0.39655 0.395826 0.397029
8 0.396774 0.396424 0.397198 0.396803 0.396906 0.396715 0.396406 0.397001 0.396742 0.396198 0.396891 0.396757 0.396381 0.39564 0.396443 0.397048 0.396237 0.396399 0.396511 0.397125 0.397402 0.396588 0.396509 0.396483 0.39645 0.397058 0.396694 0.396805 0.396377 0.395802 0.396388 0.396795 0.397315 0.396153 0.396237 0.396245 0.39653 0.396837 0.396963 0.397376 0.39653 0.396587 0.396444 0.395965 0.396783 0.396751 0.396466 0.395699 0.396837 0.396245 0.397028 0.397295 0.396433 0.396258 0.396028 0.396763 0.395215 0.379974 0.373324 0.451664 0.427291 0.452899 0.456054 0.454296 0.454932 0.456821 0.451654 0.428277 0.450933 0.372992 0.379826 0.395563 0.396781 0.396502 0.396703 0.397315 0.396184 0.397039 0.397358 0.396693 0.396398 0.396519 0.396907 0.39636 0.395467 0.396355 0.396388 0.396297 0.396234 0.396381 0.396354 0.396533 0.39592 0.396411 0.397067 0.397977 0.395848 0.395896 0.396286 0.397057 0.396949 0.397069 0.396632 0.396965 0.397231 0.396272 0.39594 0.396502 0.396593 0.396425 0.396197 0.396778 0.396946 0.39592 0.396413 0.396806 0.396922 0.396756 0.396395 0.396729 0.3966 0.395957 0.396719 0.397473 0.397711 0.396171 0.396575 0.396702
12 0.396787 0.396536 0.396797 0.396411 0.39661 0.396383 0.396388 0.396346 0.39613 0.396561 0.396357 0.396503 0.396275 0.397292 0.397374 0.396445 0.396279 0.397029 0.396446 0.396264 0.396537 0.396571 0.397 0.396776 0.396525 0.396673 0.396734 0.396032 0.396103 0.396689 0.396031 0.396509 0.396757 0.39638 0.397122 0.396909 0.396969 0.396792 0.396614 0.396462 0.396415 0.396408 0.396418 0.397425 0.396321 0.396913 0.396974 0.396439 0.395936 0.396194 0.396524 0.39671 0.396013 0.393046 0.377649 0.375876 0.427718 0.410346 0.433937 0.424275 0.430299 0.436659 0.43726 0.435847 0.436131 0.435803 0.434678 0.430156 0.424951 0.433231 0.409112 0.428251 0.376612 0.37649 0.393439 0.397295 0.396673 0.397181 0.397292 0.397121 0.396619 0.396468 0.396272 0.39541 0.396519 0.396596 0.396792 0.395877 0.396508 0.395932 0.39685 0.396271 0.396547 0.39634 0.395783 0.396715 0.397588 0.396495 0.396617 0.396415 0.396932 0.396245 0.39682 0.397099 0.396844 0.396746 0.396129 0.396619 0.396444 0.396499 0.39616 0.39603 0.395835 0.396583 0.396775 0.397866 0.397258 0.396098 0.396414 0.395414 0.396076 0.397043 0.39736 0.396779 0.398109 0.397484 0.396293 0.397028
16 0.397289 0.39675 0.396662 0.395772 0.396379 0.395761 0.3968 0.396286 0.395585 0.396174 0.396713 0.396755 0.396349 0.396824 0.396633 0.397394 0.397529 0.396468 0.396252 0.396297 0.396435 0.39607 0.396748 0.397222 0.396279 0.396883 0.396145 0.396362 0.395979 0.395931 0.397018 0.396101 0.396651 0.397546 0.396836 0.396972 0.39638 0.396496 0.39682 0.396261 0.39656 0.396449 0.397334 0.397242 0.396925 0.39666 0.395889 0.396618 0.396388 0.395319 0.390153 0.376534 0.380151 0.418362 0.404741 0.418594 0.412904 0.423653 0.422599 0.42136 0.424672 0.426904 0.426276 0.426664 0.426054 0.426496 0.425416 0.423912 0.421228 0.421771 0.42277 0.412039 0.419687 0.405087 0.418399 0.380556 0.37651 0.390394 0.396068 0.397301 0.39674 0.396901 0.396446 0.395682 0.396167 0.395821 0.396 0.396837 0.397191 0.396663 0.396737 0.396662 0.39648 0.396401 0.396417 0.395625 0.396545 0.396345 0.396972 0.396882 0.396402 0.397146 0.396423 0.396435 0.39609 0.39718 0.396743 0.396651 0.396059 0.397036 0.396012 0.396026 0.396307 0.396705 0.396531 0.396768 0.395751 0.397071 0.39712 0.397423 0.396259 0.396598 0.396727 0.396371 0.396996 0.397599 0.396712 0.397918
20 0.396695 0.397024 0.397741 0.397227 0.39566 0.39635 0.396043 0.396577 0.39621 0.395794 0.39583 0.396171 0.397418 0.396472 0.396358 0.396271 0.397426 0.396216 0.396836 0.396897 0.397214 0.396314 0.396111 0.396565 0.396358 0.395564 0.396915 0.396503 0.396572 0.396453 0.396451 0.397192 0.396677 0.396831 0.396247 0.396117 0.397049 0.396563 0.396392 0.396768 0.397813 0.396992 0.396351 0.396656 0.396263 0.396379 0.39438 0.388713 0.37718 0.384256 0.412082 0.40126 0.410645 0.408167 0.416566 0.412206 0.417752 0.418975 0.417432 0.417852 0.420203 0.420567 0.420191 0.420594 0.420195 0.419815 0.42082 0.418897 0.418141 0.417399 0.418676 0.417015 0.411328 0.416221 0.408966 0.410037 0.402181 0.412961 0.385606 0.376438 0.387885 0.394714 0.39581 0.395942 0.396633 0.396435 0.396105 0.396978 0.396876 0.39684 0.396855 0.396738 0.396059 0.396768 0.396468 0.39707 0.395665 0.396439 0.396963 0.396089 0.39625 0.395782 0.396348 0.397101 0.395895 0.397291 0.396869 0.396621 0.396822 0.396233 0.396397 0.396295 0.396883 0.396106 0.396228 0.396357 0.396551 0.396887 0.397461 0.397388 0.396125 0.39672 0.397115 0.396961 0.396673 0.397053 0.396637 0.396396
24 0.396677 0.396648 0.396807 0.396822 0.397839 0.397171 0.3965 0.395709 0.395746 0.395524 0.396341 0.39608 0.396635 0.395846 0.396535 0.396113 0.397481 0.39697 0.396077 0.396715 0.39649 0.39662 0.396589 0.396934 0.396123 0.396216 0.396276 0.397066 0.396791 0.396497 0.396662 0.396498 0.395756 0.3967 0.396606 0.396843 0.397097 0.396403 0.397159 0.396854 0.396731 0.396606 0.395869 0.393767 0.385975 0.378 0.388608 0.409602 0.398839 0.405971 0.406689 0.409297 0.408585 0.41364 0.411677 0.412922 0.414848 0.415383 0.415004 0.415526 0.416251 0.416273 0.416057 0.416975 0.416032 0.416153 0.416081 0.4165 0.415475 0.415211 0.414434 0.414814 0.412209 0.411654 0.413829 0.408526 0.409335 0.406626 0.406712 0.39911 0.40852 0.388588 0.376865 0.385817 0.393598 0.396135 0.397636 0.397086 0.396507 0.396238 0.395597 0.396705 0.396906 0.396741 0.397018 0.396571 0.396729 0.396569 0.396647 0.395601 0.395866 0.395633 0.396222 0.396502 0.396968 0.396748 0.396122 0.396452 0.396878 0.396812 0.39606 0.396828 0.397012 0.39651 0.396342 0.396749 0.397085 0.39641 0.397176 0.396953 0.396808 0.396203 0.397057 0.396488 0.396973 0.396914 0.396733 0.396231
28 0.397126 0.39661 0.397234 0.397755 0.395981 0.396558 0.396792 0.395745 0.396436 0.396419 0.395144 0.396099 0.396337 0.396986 0.396604 0.395938 0.396437 0.396916 0.395965 0.396124 0.396553 0.396913 0.395989 0.397193 0.396452 0.397812 0.396559 0.396043 0.395945 0.39682 0.396283 0.39618 0.396875 0.397286 0.396031 0.396388 0.397268 0.396354 0.397093 0.395583 0.392323 0.384291 0.379633 0.391202 0.407392 0.398631 0.403094 0.405645 0.403985 0.406495 0.409185 0.408425 0.412228 0.410232 0.410547 0.411821 0.412732 0.412487 0.412681 0.413299 0.413432 0.413555 0.413338 0.414379 0.413904 0.412876 0.414214 0.412554 0.412986 0.412232 0.413274 0.412336 0.41237 0.41093 0.409716 0.411759 0.407874 0.408735 0.406919 0.404122 0.404052 0.403244 0.399346 0.406857 0.391491 0.379219 0.384824 0.39222 0.395566 0.396622 0.396441 0.395801 0.39624 0.396689 0.397496 0.396601 0.396439 0.39659 0.395951 0.396695 0.396505 0.396386 0.396085 0.396063 0.395877 0.396007 0.396112 0.396528 0.396591 0.397085 0.396547 0.396923 0.396927 0.396833 0.396917 0.397084 0.39699 0.396421 0.397057 0.396266 0.396097 0.397297 0.396378 0.396182 0.396611 0.397207 0.397157 0.395849
32 0.396664 0.396669 0.396608 0.397313 0.396107 0.396221 0.396025 0.396288 0.395804 0.396322 0.39662 0.39688 0.396681 0.395895 0.396344 0.396352 0.396833 0.395965 0.396195 0.396411 0.396247 0.396435 0.397297 0.396808 0.396294 0.396407 0.395778 0.396556 0.396951 0.396404 0.396922 0.396789 0.3967 0.395876 0.396425 0.396904 0.39557 0.390624 0.383629 0.380885 0.393725 0.405251 0.397367 0.402569 0.403803 0.401253 0.406152 0.405237 0.406123 0.409361 0.407439 0.409119 0.409601 0.40906 0.410194 0.410575 0.410564 0.411129 0.410828 0.410859 0.412008 0.411645 0.411303 0.411867 0.411751 0.41089 0.411675 0.411581 0.410587 0.411386 0.411099 0.410549 0.410216 0.409714 0.40872 0.410173 0.408701 0.406652 0.409009 0.406244 0.405857 0.405448 0.401602 0.403806 0.401788 0.397472 0.40509 0.393659 0.380723 0.383831 0.390339 0.394419 0.396914 0.396247 0.396256 0.396056 0.396688 0.397294 0.396846 0.396458 0.396768 0.396222 0.396182 0.395108 0.396117 0.396453 0.39758 0.396258 0.396175 0.395952 0.396259 0.396727 0.397358 0.396952 0.398388 0.396739 0.39553 0.397098 0.396735 0.395898 0.396567 0.397296 0.395875 0.396712 0.39687 0.396838 0.396539 0.397352
36 0.397002 0.396377 0.39639 0.396075 0.396261 0.395537 0.396256 0.396442 0.396946 0.39676 0.39656 0.396289 0.396357 0.396515 0.396442 0.396898 0.396134 0.396593 0.395682 0.397342 0.3968 0.395849 0.396735 0.396017 0.39565 0.396187 0.397576 0.39647 0.396357 0.396167 0.395866 0.396203 0.396601 0.394878 0.389863 0.383597 0.383265 0.3957 0.402946 0.396522 0.400619 0.402872 0.400647 0.404179 0.403658 0.40453 0.405752 0.405415 0.408053 0.407908 0.407891 0.407559 0.408668 0.407947 0.409349 0.409376 0.408906 0.409614 0.410052 0.409694 0.409995 0.409687 0.410129 0.409175 0.410631 0.410495 0.410064 0.409879 0.409292 0.409314 0.408847 0.408748 0.409122 0.408971 0.407626 0.408935 0.407688 0.408414 0.407792 0.407455 0.405726 0.406328 0.404454 0.402682 0.40432 0.400261 0.402448 0.399492 0.397008 0.403477 0.394444 0.38305 0.383624 0.390007 0.394115 0.396045 0.396038 0.396963 0.396305 0.396507 0.395977 0.396025 0.396628 0.396353 0.396353 0.396271 0.397282 0.396854 0.395872 0.396474 0.39665 0.396964 0.396568 0.396449 0.39668 0.397031 0.396482 0.396168 0.39682 0.396586 0.397658 0.397062 0.39616 0.396702 0.396505 0.396924 0.396198 0.396981
